	0-000014080
三年来	004811840-004813441	[["三", ["[San1] surname San", "[san1] three / 3"]], ["年来", ["[nian2 lai2] this past year / over the last years"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["年", ["[Nian2] surname Nian", "[nian2] year / CL:個|个[ge4]"]], ["来", ["[lai2] to come / to arrive / to come round / ever since / next"]]]
他第一次走进我的房间	004813441-004816711	[["他", ["[ta1] he or him / (used for either sex when the sex is unknown or unimportant) / (used before sb's name for emphasis) / (used as a meaningless mock object) / other / another"]], ["第一次", ["[di4 yi1 ci4] the first time / first / number one"]], ["走进", ["[zou3 jin4] to enter"]], ["我", ["[wo3] I / me / my"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["房间", ["[fang2 jian1] room / CL:間|间[jian1]"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["第", ["[di4] (prefix indicating ordinal number, e.g. first, number two etc)"]], ["一", ["[yi1] one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / \"one\" radical in Chinese characters (Kangxi radical 1)"]], ["次", ["[ci4] next in sequence / second / the second (day, time etc) / secondary / vice- / sub- / infra- / inferior quality / substandard / order / sequence / hypo- (chemistry) / classifier for enumerated events: time"]], ["走", ["[zou3] to walk / to go / to run / to move (of vehicle) / to visit / to leave / to go away / to die (euph.) / from / through / away (in compound verbs, such as 撤走) / to change (shape, form, meaning)"]], ["进", ["[jin4] to advance / to enter / to come (or go) into / to receive or admit / to eat or drink / to submit or present / (used after a verb) into, in / to score a goal"]], ["房", ["[Fang2] surname Fang", "[fang2] house / room / CL:間|间[jian1]"]], ["间", ["[jian1] between / among / within a definite time or space / room / section of a room or lateral space between two pairs of pillars / classifier for rooms", "[jian4] gap / to separate / to thin out (seedlings) / to sow discontent"]]]
他第一次走进我的房间	004816711-004967362	[["他", ["[ta1] he or him / (used for either sex when the sex is unknown or unimportant) / (used before sb's name for emphasis) / (used as a meaningless mock object) / other / another"]], ["第一次", ["[di4 yi1 ci4] the first time / first / number one"]], ["走进", ["[zou3 jin4] to enter"]], ["我", ["[wo3] I / me / my"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["房间", ["[fang2 jian1] room / CL:間|间[jian1]"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["第", ["[di4] (prefix indicating ordinal number, e.g. first, number two etc)"]], ["一", ["[yi1] one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / \"one\" radical in Chinese characters (Kangxi radical 1)"]], ["次", ["[ci4] next in sequence / second / the second (day, time etc) / secondary / vice- / sub- / infra- / inferior quality / substandard / order / sequence / hypo- (chemistry) / classifier for enumerated events: time"]], ["走", ["[zou3] to walk / to go / to run / to move (of vehicle) / to visit / to leave / to go away / to die (euph.) / from / through / away (in compound verbs, such as 撤走) / to change (shape, form, meaning)"]], ["进", ["[jin4] to advance / to enter / to come (or go) into / to receive or admit / to eat or drink / to submit or present / (used after a verb) into, in / to score a goal"]], ["房", ["[Fang2] surname Fang", "[fang2] house / room / CL:間|间[jian1]"]], ["间", ["[jian1] between / among / within a definite time or space / room / section of a room or lateral space between two pairs of pillars / classifier for rooms", "[jian4] gap / to separate / to thin out (seedlings) / to sow discontent"]]]
少爷，用点心吗7	004967362-004970865	[["少爷", ["[shao4 ye5] son of the boss / young master of the house / your son (honorary)"]], ["用", ["[yong4] to use / to employ / to have to / to eat or drink / expense or outlay / usefulness / hence / therefore"]], ["点心", ["[dian3 xin5] light refreshments / pastry / dimsum (in Cantonese cooking) / dessert"]], ["吗", ["[ma3] see 嗎啡|吗啡, morphine", "[ma5] (question tag)"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["少", ["[shao3] few / little / lack", "[shao4] young"]], ["爷", ["[ye2] grandpa / old gentleman"]], ["点", ["[dian3] point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更[geng1] / dot stroke in Chinese characters / classifier for items"]], ["心", ["[xin1] heart / mind / intention / centre / core / CL:顆|颗[ke1],個|个[ge4]"]]]
少爷，用点心吗7	004970865-004974469	[["少爷", ["[shao4 ye5] son of the boss / young master of the house / your son (honorary)"]], ["用", ["[yong4] to use / to employ / to have to / to eat or drink / expense or outlay / usefulness / hence / therefore"]], ["点心", ["[dian3 xin5] light refreshments / pastry / dimsum (in Cantonese cooking) / dessert"]], ["吗", ["[ma3] see 嗎啡|吗啡, morphine", "[ma5] (question tag)"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["少", ["[shao3] few / little / lack", "[shao4] young"]], ["爷", ["[ye2] grandpa / old gentleman"]], ["点", ["[dian3] point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更[geng1] / dot stroke in Chinese characters / classifier for items"]], ["心", ["[xin1] heart / mind / intention / centre / core / CL:顆|颗[ke1],個|个[ge4]"]]]
少爷少爷啊	004974469-004983878	[["少爷", ["[shao4 ye5] son of the boss / young master of the house / your son (honorary)"]], ["少爷", ["[shao4 ye5] son of the boss / young master of the house / your son (honorary)"]], ["啊", ["[a1] interjection of surprise / Ah! / Oh!", "[a2] interjection expressing doubt or requiring answer / Eh? / what? / to show realization / to stress", "[a3] interjection of surprise or doubt / Eh? / My! / what's up?", "[a4] interjection or grunt of agreement / uhm / Ah, OK / expression of recognition / Oh, it's you!", "[a5] modal particle ending sentence, showing affirmation, approval, or consent"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["少", ["[shao3] few / little / lack", "[shao4] young"]], ["爷", ["[ye2] grandpa / old gentleman"]]]
少奶奶	004983878-004987082	[["少奶奶", ["[shao3 nai3 nai5] young lady of the house / wife of the young master"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["少", ["[shao3] few / little / lack", "[shao4] young"]], ["奶", ["[nai3] breast / lady / milk"]]]
少奶奶，快来少爷不好了	004987082-004990552	[["少奶奶", ["[shao3 nai3 nai5] young lady of the house / wife of the young master"]], ["快", ["[kuai4] rapid / quick / speed / rate / soon / almost / to make haste / clever / sharp (of knives or wits) / forthright / plain-spoken / gratified / pleased / pleasant"]], ["来", ["[lai2] to come / to arrive / to come round / ever since / next"]], ["少爷", ["[shao4 ye5] son of the boss / young master of the house / your son (honorary)"]], ["不好", ["[bu4 hao3] no good"]], ["了", ["[le5] (modal particle intensifying preceding clause) / (completed action marker)", "[liao3] to finish / to achieve / to understand", "[liao3] (of eyes) bright / clear-sighted / to understand clearly"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["少", ["[shao3] few / little / lack", "[shao4] young"]], ["奶", ["[nai3] breast / lady / milk"]], ["爷", ["[ye2] grandpa / old gentleman"]], ["不", ["[bu4] (negative prefix) / not / no"]], ["好", ["[hao3] good / well / proper / good to / easy to / very / so / (suffix indicating completion or readiness) / to be in love (e.g. 学姐，你跟他好了，就不怕代沟么？)", "[hao4] to be fond of / to have a tendency to / to be prone to"]]]
少奶奶，快来少爷不好了	004990552-005014743	[["少奶奶", ["[shao3 nai3 nai5] young lady of the house / wife of the young master"]], ["快", ["[kuai4] rapid / quick / speed / rate / soon / almost / to make haste / clever / sharp (of knives or wits) / forthright / plain-spoken / gratified / pleased / pleasant"]], ["来", ["[lai2] to come / to arrive / to come round / ever since / next"]], ["少爷", ["[shao4 ye5] son of the boss / young master of the house / your son (honorary)"]], ["不好", ["[bu4 hao3] no good"]], ["了", ["[le5] (modal particle intensifying preceding clause) / (completed action marker)", "[liao3] to finish / to achieve / to understand", "[liao3] (of eyes) bright / clear-sighted / to understand clearly"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["少", ["[shao3] few / little / lack", "[shao4] young"]], ["奶", ["[nai3] breast / lady / milk"]], ["爷", ["[ye2] grandpa / old gentleman"]], ["不", ["[bu4] (negative prefix) / not / no"]], ["好", ["[hao3] good / well / proper / good to / easy to / very / so / (suffix indicating completion or readiness) / to be in love (e.g. 学姐，你跟他好了，就不怕代沟么？)", "[hao4] to be fond of / to have a tendency to / to be prone to"]]]
快到学校请小姐回来是	005014743-005017545	[["快", ["[kuai4] rapid / quick / speed / rate / soon / almost / to make haste / clever / sharp (of knives or wits) / forthright / plain-spoken / gratified / pleased / pleasant"]], ["到", ["[dao4] to (a place) / until (a time) / up to / to go / to arrive"]], ["学校", ["[xue2 xiao4] school / CL:所[suo3]"]], ["请", ["[qing3] to ask / to invite / please (do sth) / to treat (to a meal etc) / to request"]], ["小姐", ["[xiao3 jie5] young lady / miss / (slang) prostitute / CL:個|个[ge4],位[wei4]"]], ["回来", ["[hui2 lai5] to return / to come back"]], ["是", ["[shi4] is / are / am / yes / to be"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["学", ["[xue2] to learn / to study / science / -ology"]], ["校", ["[jiao4] to proofread / to check / to compare", "[xiao4] school / military officer / CL:所[suo3]"]], ["小", ["[xiao3] small / tiny / few / young"]], ["姐", ["[jie3] older sister"]], ["回", ["[hui2] to circle / to go back / to turn around / to answer / to return / to revolve / Hui ethnic group (Chinese Muslims) / time / classifier for acts of a play / section or chapter (of a classic book)", "[hui2] to curve / to return / to revolve"]], ["来", ["[lai2] to come / to arrive / to come round / ever since / next"]]]
礼言礼言	005017545-005019814	[["礼", ["[Li3] surname Li", "[li3] gift / rite / ceremony / CL:份[fen4] / propriety / etiquette / courtesy"]], ["言", ["[yan2] words / speech / to say / to talk", "[yan2] \"speech\" or \"words\" radical in Chinese characters (Kangxi radical 149) / see also 言字旁[yan2 zi4 pang2]"]], ["礼", ["[Li3] surname Li", "[li3] gift / rite / ceremony / CL:份[fen4] / propriety / etiquette / courtesy"]], ["言", ["[yan2] words / speech / to say / to talk", "[yan2] \"speech\" or \"words\" radical in Chinese characters (Kangxi radical 149) / see also 言字旁[yan2 zi4 pang2]"]], ["----------", ["Definitions for words above consisting of more than one character:"]]]
这是怎么曰事	005019814-005024352	[["这", ["[zhe4] this / these / (commonly pr. [zhei4] before a classifier, esp. in Beijing)"]], ["是", ["[shi4] is / are / am / yes / to be"]], ["怎么", ["[zen3 me5] how? / what? / why?", "[zen3 me5] variant of 怎麼|怎么[zen3 me5]"]], ["曰", ["[yue1] to speak / to say"]], ["事", ["[shi4] matter / thing / item / work / affair / CL:件[jian4],樁|桩[zhuang1]"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["怎", ["[zen3] how"]], ["么", ["[Yao1] surname Yao", "[yao1] youngest / most junior / tiny / one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military) / one or ace on dice or dominoes / variant of 吆, to shout", "[ma2] exclamatory final particle", "[ma5] interrogative final particle", "[me5] suffix, used to form interrogative 甚麼|什么, what?, indefinite 這麼|这么 thus etc"]]]
老黄	005024352-005030825	[["老", ["[lao3] prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity / old (of people) / venerable (person) / experienced / of long standing / always / all the time / of the past / very / outdated / (of meat etc) tough"]], ["黄", ["[Huang2] surname Huang or Hwang", "[huang2] yellow / pornographic / to fall through"]], ["----------", ["Definitions for words above consisting of more than one character:"]]]
先请章少爷，快	005030825-005034996	[["先", ["[xian1] early / prior / former / in advance / first"]], ["请", ["[qing3] to ask / to invite / please (do sth) / to treat (to a meal etc) / to request"]], ["章", ["[Zhang1] surname Zhang", "[zhang1] chapter / section / clause / movement (of symphony) / seal / badge / regulation / order"]], ["少爷", ["[shao4 ye5] son of the boss / young master of the house / your son (honorary)"]], ["快", ["[kuai4] rapid / quick / speed / rate / soon / almost / to make haste / clever / sharp (of knives or wits) / forthright / plain-spoken / gratified / pleased / pleasant"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["少", ["[shao3] few / little / lack", "[shao4] young"]], ["爷", ["[ye2] grandpa / old gentleman"]]]
礼言．	005034996-005039667	[["礼", ["[Li3] surname Li", "[li3] gift / rite / ceremony / CL:份[fen4] / propriety / etiquette / courtesy"]], ["言", ["[yan2] words / speech / to say / to talk", "[yan2] \"speech\" or \"words\" radical in Chinese characters (Kangxi radical 149) / see also 言字旁[yan2 zi4 pang2]"]], ["----------", ["Definitions for words above consisting of more than one character:"]]]
礼言．	005039667-005046074	[["礼", ["[Li3] surname Li", "[li3] gift / rite / ceremony / CL:份[fen4] / propriety / etiquette / courtesy"]], ["言", ["[yan2] words / speech / to say / to talk", "[yan2] \"speech\" or \"words\" radical in Chinese characters (Kangxi radical 149) / see also 言字旁[yan2 zi4 pang2]"]], ["----------", ["Definitions for words above consisting of more than one character:"]]]
章少爷．不好了	005046074-005049344	[["章", ["[Zhang1] surname Zhang", "[zhang1] chapter / section / clause / movement (of symphony) / seal / badge / regulation / order"]], ["少爷", ["[shao4 ye5] son of the boss / young master of the house / your son (honorary)"]], ["不好", ["[bu4 hao3] no good"]], ["了", ["[le5] (modal particle intensifying preceding clause) / (completed action marker)", "[liao3] to finish / to achieve / to understand", "[liao3] (of eyes) bright / clear-sighted / to understand clearly"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["少", ["[shao3] few / little / lack", "[shao4] young"]], ["爷", ["[ye2] grandpa / old gentleman"]]]
我们少爷死过去3	005049344-005051279	[["我们", ["[wo3 men5] we / us / ourselves / our"]], ["少爷", ["[shao4 ye5] son of the boss / young master of the house / your son (honorary)"]], ["死", ["[si3] to die / impassable / uncrossable / inflexible / rigid / extremely"]], ["过去", ["[guo4 qu5] (in the) past / former / previous / to go over / to pass by"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["我", ["[wo3] I / me / my"]], ["们", ["[men5] plural marker for pronouns, and nouns referring to individuals"]], ["少", ["[shao3] few / little / lack", "[shao4] young"]], ["爷", ["[ye2] grandpa / old gentleman"]], ["过", ["[Guo4] surname Guo", "[guo4] (experienced action marker) / to cross / to go over / to pass (time) / to celebrate (a holiday) / to live / to get along / excessively / too-"]], ["去", ["[qu4] to go / to go to (a place) / to cause to go or send (sb) / to remove / to get rid of / (when used either before or after a verb) to go in order to do sth / to be apart from in space or time / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation) / (of a time or an event etc) just passed or elapsed"]]]
啊7请您赶快瞧瞧去	005051279-005054249	[["啊", ["[a1] interjection of surprise / Ah! / Oh!", "[a2] interjection expressing doubt or requiring answer / Eh? / what? / to show realization / to stress", "[a3] interjection of surprise or doubt / Eh? / My! / what's up?", "[a4] interjection or grunt of agreement / uhm / Ah, OK / expression of recognition / Oh, it's you!", "[a5] modal particle ending sentence, showing affirmation, approval, or consent"]], ["请", ["[qing3] to ask / to invite / please (do sth) / to treat (to a meal etc) / to request"]], ["您", ["[nin2] you (courteous, as opposed to informal 你[ni3])"]], ["赶快", ["[gan3 kuai4] at once / immediately"]], ["瞧", ["[qiao2] to look at / to see / to see (a doctor) / to visit"]], ["瞧", ["[qiao2] to look at / to see / to see (a doctor) / to visit"]], ["去", ["[qu4] to go / to go to (a place) / to cause to go or send (sb) / to remove / to get rid of / (when used either before or after a verb) to go in order to do sth / to be apart from in space or time / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation) / (of a time or an event etc) just passed or elapsed"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["赶", ["[gan3] to catch up / to overtake / to hurry / to rush / to drive away"]], ["快", ["[kuai4] rapid / quick / speed / rate / soon / almost / to make haste / clever / sharp (of knives or wits) / forthright / plain-spoken / gratified / pleased / pleasant"]]]
快，快把我的药包拿来是	005054249-005057218	[["快", ["[kuai4] rapid / quick / speed / rate / soon / almost / to make haste / clever / sharp (of knives or wits) / forthright / plain-spoken / gratified / pleased / pleasant"]], ["快", ["[kuai4] rapid / quick / speed / rate / soon / almost / to make haste / clever / sharp (of knives or wits) / forthright / plain-spoken / gratified / pleased / pleasant"]], ["把", ["[ba3] to hold / to contain / to grasp / to take hold of / handle / particle marking the following noun as a direct object / classifier for objects with handle / classifier for small objects: handful", "[ba4] handle"]], ["我", ["[wo3] I / me / my"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["药", ["[yao4] leaf of the iris / variant of 藥|药[yao4]", "[yao4] medicine / drug / cure / CL:種|种[zhong3],服[fu4]"]], ["包", ["[Bao1] surname Bao", "[bao1] to cover / to wrap / to hold / to include / to take charge of / to contract (to or for) / package / wrapper / container / bag / to hold or embrace / bundle / packet / CL:個|个[ge4],隻|只[zhi1]"]], ["拿来", ["[na2 lai2] to bring / to fetch / to get"]], ["是", ["[shi4] is / are / am / yes / to be"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["拿", ["[na2] to hold / to seize / to catch / to apprehend / to take"]], ["来", ["[lai2] to come / to arrive / to come round / ever since / next"]]]
快，快把我的药包拿来是	005057218-005064959	[["快", ["[kuai4] rapid / quick / speed / rate / soon / almost / to make haste / clever / sharp (of knives or wits) / forthright / plain-spoken / gratified / pleased / pleasant"]], ["快", ["[kuai4] rapid / quick / speed / rate / soon / almost / to make haste / clever / sharp (of knives or wits) / forthright / plain-spoken / gratified / pleased / pleasant"]], ["把", ["[ba3] to hold / to contain / to grasp / to take hold of / handle / particle marking the following noun as a direct object / classifier for objects with handle / classifier for small objects: handful", "[ba4] handle"]], ["我", ["[wo3] I / me / my"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["药", ["[yao4] leaf of the iris / variant of 藥|药[yao4]", "[yao4] medicine / drug / cure / CL:種|种[zhong3],服[fu4]"]], ["包", ["[Bao1] surname Bao", "[bao1] to cover / to wrap / to hold / to include / to take charge of / to contract (to or for) / package / wrapper / container / bag / to hold or embrace / bundle / packet / CL:個|个[ge4],隻|只[zhi1]"]], ["拿来", ["[na2 lai2] to bring / to fetch / to get"]], ["是", ["[shi4] is / are / am / yes / to be"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["拿", ["[na2] to hold / to seize / to catch / to apprehend / to take"]], ["来", ["[lai2] to come / to arrive / to come round / ever since / next"]]]
什么时候发现的7刚才	005064959-005067962	[["什么时候", ["[shen2 me5 shi2 hou5] variant of 甚麼時候|什么时候, when? / at what time?", "[shen2 me5 shi2 hou5] when? / at what time?"]], ["发现", ["[fa1 xian4] to find / to discover"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["刚才", ["[gang1 cai2] just now / a moment ago", "[gang1 cai2] (just) a moment ago"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["什", ["[shi2] ten (used in fractions, writing checks etc) / assorted / miscellaneous", "[shen2] what"]], ["么", ["[Yao1] surname Yao", "[yao1] youngest / most junior / tiny / one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military) / one or ace on dice or dominoes / variant of 吆, to shout", "[ma2] exclamatory final particle", "[ma5] interrogative final particle", "[me5] suffix, used to form interrogative 甚麼|什么, what?, indefinite 這麼|这么 thus etc"]], ["时", ["[Shi2] surname Shi", "[shi2] o'clock / time / when / hour / season / period"]], ["候", ["[hou4] to wait / to inquire after / to watch / season / climate / (old) period of five days"]], ["发", ["[fa1] to send out / to show (one's feeling) / to issue / to develop / classifier for gunshots (rounds)", "[fa4] hair / Taiwan pr. [fa3]"]], ["现", ["[xian4] to appear / present / now / existing / current"]], ["刚", ["[gang1] hard / firm / strong / just / barely / exactly"]], ["才", ["[cai2] ability / talent / sb of a certain type / a capable individual / only / only then / just now", "[cai2] a moment ago / just now / (preceded by a clause of condition or reason) not until / (followed by a numerical clause) only"]]]
是不是已经躺在床上了7是	005067962-005069964	[["是不是", ["[shi4 bu4 shi4] is or isn't / yes or no / whether or not"]], ["已经", ["[yi3 jing1] already"]], ["躺", ["[tang3] to recline / to lie down"]], ["在", ["[zai4] (located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)"]], ["床", ["[chuang2] bed / couch / classifier for beds / CL:張|张[zhang1]"]], ["上", ["[shang3] see 上聲|上声[shang3 sheng1]", "[shang4] on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)"]], ["了", ["[le5] (modal particle intensifying preceding clause) / (completed action marker)", "[liao3] to finish / to achieve / to understand", "[liao3] (of eyes) bright / clear-sighted / to understand clearly"]], ["是", ["[shi4] is / are / am / yes / to be"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["不", ["[bu4] (negative prefix) / not / no"]], ["已", ["[yi3] already / to stop / then / afterwards"]], ["经", ["[Jing1] surname Jing", "[jing1] classics / sacred book / scripture / to pass through / to undergo / warp / longitude / abbr. for economics 經濟|经济[jing1 ji4]"]]]
是老黄请他吃点心发现的	005069964-005073101	[["是", ["[shi4] is / are / am / yes / to be"]], ["老", ["[lao3] prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity / old (of people) / venerable (person) / experienced / of long standing / always / all the time / of the past / very / outdated / (of meat etc) tough"]], ["黄", ["[Huang2] surname Huang or Hwang", "[huang2] yellow / pornographic / to fall through"]], ["请", ["[qing3] to ask / to invite / please (do sth) / to treat (to a meal etc) / to request"]], ["他", ["[ta1] he or him / (used for either sex when the sex is unknown or unimportant) / (used before sb's name for emphasis) / (used as a meaningless mock object) / other / another"]], ["吃", ["[chi1] to eat / to consume / to eat at (a cafeteria etc) / to eradicate / to destroy / to absorb / to suffer", "[ji2] stammer"]], ["点心", ["[dian3 xin5] light refreshments / pastry / dimsum (in Cantonese cooking) / dessert"]], ["发现", ["[fa1 xian4] to find / to discover"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["点", ["[dian3] point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更[geng1] / dot stroke in Chinese characters / classifier for items"]], ["心", ["[xin1] heart / mind / intention / centre / core / CL:顆|颗[ke1],個|个[ge4]"]], ["发", ["[fa1] to send out / to show (one's feeling) / to issue / to develop / classifier for gunshots (rounds)", "[fa4] hair / Taiwan pr. [fa3]"]], ["现", ["[xian4] to appear / present / now / existing / current"]]]
是老黄请他吃点心发现的	005073101-005080041	[["是", ["[shi4] is / are / am / yes / to be"]], ["老", ["[lao3] prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity / old (of people) / venerable (person) / experienced / of long standing / always / all the time / of the past / very / outdated / (of meat etc) tough"]], ["黄", ["[Huang2] surname Huang or Hwang", "[huang2] yellow / pornographic / to fall through"]], ["请", ["[qing3] to ask / to invite / please (do sth) / to treat (to a meal etc) / to request"]], ["他", ["[ta1] he or him / (used for either sex when the sex is unknown or unimportant) / (used before sb's name for emphasis) / (used as a meaningless mock object) / other / another"]], ["吃", ["[chi1] to eat / to consume / to eat at (a cafeteria etc) / to eradicate / to destroy / to absorb / to suffer", "[ji2] stammer"]], ["点心", ["[dian3 xin5] light refreshments / pastry / dimsum (in Cantonese cooking) / dessert"]], ["发现", ["[fa1 xian4] to find / to discover"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["点", ["[dian3] point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更[geng1] / dot stroke in Chinese characters / classifier for items"]], ["心", ["[xin1] heart / mind / intention / centre / core / CL:顆|颗[ke1],個|个[ge4]"]], ["发", ["[fa1] to send out / to show (one's feeling) / to issue / to develop / classifier for gunshots (rounds)", "[fa4] hair / Taiwan pr. [fa3]"]], ["现", ["[xian4] to appear / present / now / existing / current"]]]
有希望没有7	005080041-005083044	[["有希望", ["[you3 xi1 wang4] hopeful / promising / prospective"]], ["没有", ["[mei2 you3] haven't / hasn't / doesn't exist / to not have / to not be"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["有", ["[you3] to have / there is / there are / to exist / to be"]], ["希", ["[xi1] to hope / to admire / variant of 稀[xi1]"]], ["望", ["[wang4] full moon / to hope / to expect / to visit / to gaze (into the distance) / to look towards / towards"]], ["没", ["[mei2] (negative prefix for verbs) / have not / not", "[mo4] drowned / to end / to die / to inundate"]]]
有希望没有7	005083044-005104999	[["有希望", ["[you3 xi1 wang4] hopeful / promising / prospective"]], ["没有", ["[mei2 you3] haven't / hasn't / doesn't exist / to not have / to not be"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["有", ["[you3] to have / there is / there are / to exist / to be"]], ["希", ["[xi1] to hope / to admire / variant of 稀[xi1]"]], ["望", ["[wang4] full moon / to hope / to expect / to visit / to gaze (into the distance) / to look towards / towards"]], ["没", ["[mei2] (negative prefix for verbs) / have not / not", "[mo4] drowned / to end / to die / to inundate"]]]
你得救他，谢谢	005104999-005110672	[["你", ["[ni3] you (informal, as opposed to courteous 您[nin2])"]], ["得救", ["[de2 jiu4] to be saved"]], ["他", ["[ta1] he or him / (used for either sex when the sex is unknown or unimportant) / (used before sb's name for emphasis) / (used as a meaningless mock object) / other / another"]], ["谢谢", ["[xie4 xie5] to thank / thanks"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["得", ["[de2] to obtain / to get / to gain / to catch (a disease) / proper / suitable / proud / contented / to allow / to permit / ready / finished", "[de5] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc", "[dei3] to have to / must / ought to / to need to"]], ["救", ["[jiu4] to save / to assist / to rescue"]], ["谢", ["[Xie4] surname Xie", "[xie4] to thank / to apologize / to wither (of flowers, leaves etc) / to decline"]]]
你得救他，谢谢	005110672-005115043	[["你", ["[ni3] you (informal, as opposed to courteous 您[nin2])"]], ["得救", ["[de2 jiu4] to be saved"]], ["他", ["[ta1] he or him / (used for either sex when the sex is unknown or unimportant) / (used before sb's name for emphasis) / (used as a meaningless mock object) / other / another"]], ["谢谢", ["[xie4 xie5] to thank / thanks"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["得", ["[de2] to obtain / to get / to gain / to catch (a disease) / proper / suitable / proud / contented / to allow / to permit / ready / finished", "[de5] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc", "[dei3] to have to / must / ought to / to need to"]], ["救", ["[jiu4] to save / to assist / to rescue"]], ["谢", ["[Xie4] surname Xie", "[xie4] to thank / to apologize / to wither (of flowers, leaves etc) / to decline"]]]
