Ich wäre so gern...	Ich wäre so gern...	Ich wäre so gern...	I would be so happy ...	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>wäre</td><td></td><td>would</td></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr><tr><td>gern...</td><td></td><td>like ...</td></tr></table>	[sound:lola-000116000-000118000.mp4]
Pack ein. Hunderttausend!	Pack ein. ___	Pack ein. <span class="learn">Hunderttausend!</span>	Pack. Hundred thousand !	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Pack</td><td></td><td>Pack</td></tr><tr><td>ein.</td><td>mono // any [one of many] // an [feminine subject / direct object] // one // one </td><td>a .</td></tr><tr><td>Hunderttausend!</td><td></td><td>Hundred thousand !</td></tr></table>	[sound:lola-002719385-002722045.mp4]
Komm schon, Mädchen.	Komm ___ Mädchen.	Komm <span class="learn">schon,</span> Mädchen.	Come on, girls.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Komm</td><td></td><td>Come</td></tr><tr><td>schon,</td><td></td><td>already ,</td></tr><tr><td>Mädchen.</td><td>all-girl [attr.] // girlish </td><td>Girl.</td></tr></table>	[sound:lola-002731887-002734157.mp4]
Lass deinen Papa in Ruhe	___ deinen ___ in Ruhe	<span class="learn">Lass</span> deinen <span class="learn">Papa</span> in Ruhe	Let your dad alone	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Lass</td><td></td><td>let</td></tr><tr><td>deinen</td><td></td><td>your</td></tr><tr><td>Papa</td><td></td><td>Papa</td></tr><tr><td>in</td><td>at // in // inside // into // on </td><td>in</td></tr><tr><td>Ruhe</td><td></td><td>rest</td></tr></table>	[sound:lola-002735027-002736657.mp4]
Du willst doch niemandem weh tun, oder?	Du ___ doch niemandem weh ___ ___	Du <span class="learn">willst</span> doch niemandem weh <span class="learn">tun,</span> <span class="learn">oder?</span>	You do not want to hurt anyone , right?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Du</td><td></td><td>you</td></tr><tr><td>willst</td><td></td><td>want</td></tr><tr><td>doch</td><td>after all // but // however // nevertheless // on the contrary // still // too  [Am. coll.: certainly] // yet // you know ... </td><td>but</td></tr><tr><td>niemandem</td><td></td><td>anyone</td></tr><tr><td>weh</td><td>sore  [painful] </td><td>hurt</td></tr><tr><td>tun,</td><td></td><td>do</td></tr><tr><td>oder?</td><td></td><td>or ?</td></tr></table>	[sound:lola-002737597-002740687.mp4]
Ich weiß nicht.	Ich ___ nicht.	Ich <span class="learn">weiß</span> nicht.	I do not know.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>weiß</td><td>blank // whitely </td><td>white</td></tr><tr><td>nicht.</td><td>diddly [coll.] // naught // nil // none // nothing // nought // nowt [Br.] [dialect pronunciation of nought] // nuffink [coll.] [nothing] // nuffin [coll.] [nothing] // nuttin' [Am.] [sl.] [nothing] </td><td>does not .</td></tr></table>	[sound:lola-002740768-002742258.mp4]
- Reicht nicht. - Wieso nicht?	-  Reicht nicht. -  ___ nicht?	- Reicht nicht. - <span class="learn">Wieso</span> nicht?	Not enough .  Why not?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Reicht</td><td></td><td>enough</td></tr><tr><td>nicht.</td><td>diddly [coll.] // naught // nil // none // nothing // nought // nowt [Br.] [dialect pronunciation of nought] // nuffink [coll.] [nothing] // nuffin [coll.] [nothing] // nuttin' [Am.] [sl.] [nothing] </td><td>does not .</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Wieso</td><td></td><td>Why</td></tr><tr><td>nicht?</td><td></td><td>not ?</td></tr></table>	[sound:lola-002759750-002761680.mp4]
Sind nur 88.000.	___ ___ 88.000. 	<span class="learn">Sind</span> <span class="learn">nur</span> 88.000.	Are only , .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Sind</td><td></td><td>are</td></tr><tr><td>nur</td><td>as little as // but [only] // just  [only] // mere // merely // nobbut [Br.] [dial.] // no better than // no more than // none but // nothing but // only // solely </td><td>only</td></tr><tr><td>88.000.</td><td></td><td> .</td></tr></table>	[sound:lola-002763411-002765381.mp4]
Den Rest müsst ich noch holen... unten.	Den Rest müsst ich ___ holen... unten.	Den Rest müsst ich <span class="learn">noch</span> holen... unten.	The rest I still need to get ... bottom .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Den</td><td></td><td>the</td></tr><tr><td>Rest</td><td></td><td>rest</td></tr><tr><td>müsst</td><td></td><td>must</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>noch</td><td>as yet // nor // still // yet [still] </td><td>more</td></tr><tr><td>holen...</td><td></td><td>Get ...</td></tr><tr><td>unten.</td><td></td><td>bottom .</td></tr></table>	[sound:lola-002766621-002769981.mp4]
Dann geh.	Dann geh.	Dann geh.	Then geh	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Dann</td><td></td><td>then</td></tr><tr><td>geh.</td><td></td><td>geh</td></tr></table>	[sound:lola-002771822-002775222.mp4]
Geh endlich. Schnell, Mann!	Geh ___ ___ Mann!	Geh <span class="learn">endlich.</span> <span class="learn">Schnell,</span> Mann!	Go finally . Quick , man!	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Geh</td><td></td><td>go</td></tr><tr><td>endlich.</td><td></td><td>finally .</td></tr><tr><td>Schnell,</td><td></td><td>Quick ,</td></tr><tr><td>Mann!</td><td></td><td>Man!</td></tr></table>	[sound:lola-002776693-002778633.mp4]
Hunderttausend.	___	<span class="learn">Hunderttausend.</span>	Hundred thousand .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Hunderttausend.</td><td></td><td>Hundred thousand .</td></tr></table>	[sound:lola-002835580-002837170.mp4]
Da rein!	Da ___	Da <span class="learn">rein!</span>	There!	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Da</td><td></td><td>since</td></tr><tr><td>rein!</td><td></td><td>in!</td></tr></table>	[sound:lola-002840811-002842411.mp4]
Tschau, Papa.	Tschau, ___	Tschau, <span class="learn">Papa.</span>	Bye , Daddy .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Tschau,</td><td></td><td>Chow ,</td></tr><tr><td>Papa.</td><td></td><td>Dad.</td></tr></table>	[sound:lola-002870475-002872405.mp4]
Das gibt's nicht!	Das gibt's nicht!	Das gibt's nicht!	That is impossible!	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Das</td><td></td><td>the</td></tr><tr><td>gibt's</td><td></td><td>s</td></tr><tr><td>nicht!</td><td></td><td>not !</td></tr></table>	[sound:lola-002892558-002894888.mp4]
Hey, psssst. Mädchen. Weg...weg...weg.	Hey, psssst. Mädchen. Weg...weg...weg.	Hey, psssst. Mädchen. Weg...weg...weg.	Hey, psssst . Girl. Gone ... gone ... gone.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Hey,</td><td></td><td>Hey,</td></tr><tr><td>psssst.</td><td></td><td>psssst .</td></tr><tr><td>Mädchen.</td><td>all-girl [attr.] // girlish </td><td>Girl.</td></tr><tr><td>Weg...weg...weg.</td><td></td><td>Gone ... gone ... gone.</td></tr></table>	[sound:lola-002903529-002905469.mp4]
Weg...weg...weg. Hau ab.	Weg...weg...weg. ___ ab.	Weg...weg...weg. <span class="learn">Hau</span> ab.	Gone ... gone ... gone. Get out .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Weg...weg...weg.</td><td></td><td>Gone ... gone ... gone.</td></tr><tr><td>Hau</td><td></td><td>Hau</td></tr><tr><td>ab.</td><td></td><td>from .</td></tr></table>	[sound:lola-002906870-002908570.mp4]
Mädel, bist du lebensmüde?	Mädel, bist du lebensmüde?	Mädel, bist du lebensmüde?	Girl, you re tired of life ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Mädel,</td><td></td><td>lass,</td></tr><tr><td>bist</td><td></td><td>are</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>lebensmüde?</td><td></td><td>tired of life ?</td></tr></table>	[sound:lola-002916371-002918631.mp4]
Achtung, Achtung. Hier spricht die Polizei.	Achtung, Achtung. ___ spricht die Polizei.	Achtung, Achtung. <span class="learn">Hier</span> spricht die Polizei.	Attention, attention . This is the police .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Achtung,</td><td></td><td>Attention,</td></tr><tr><td>Achtung.</td><td>Attention! // Heads up! // Look out! // Mind out! [Br.] // Nix! [Br.] [obs.] // Ten-hut! [Am.] // Tenshun! [mock spv. of "attention"] // Watch out! </td><td>Caution .</td></tr><tr><td>Hier</td><td></td><td>here</td></tr><tr><td>spricht</td><td></td><td>speaks</td></tr><tr><td>die</td><td>that // the // these // this one // which // who </td><td>the</td></tr><tr><td>Polizei.</td><td>constabulary  [esp. Br.] // police </td><td>Police.</td></tr></table>	[sound:lola-002924012-002927952.mp4]
Das Gebäude ist umstellt. Verlassen sie mit erhobenen Händen das Haus.	Das Gebäude ist umstellt. Verlassen sie mit erhobenen Händen das ___	Das Gebäude ist umstellt. Verlassen sie mit erhobenen Händen das <span class="learn">Haus.</span>	The building is surrounded. They leave the house with their hands up .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Das</td><td></td><td>the</td></tr><tr><td>Gebäude</td><td></td><td>building</td></tr><tr><td>ist</td><td></td><td>is</td></tr><tr><td>umstellt.</td><td></td><td>surrounded.</td></tr><tr><td>Verlassen</td><td></td><td>leave</td></tr><tr><td>sie</td><td>'em [coll.] [them] [direct object] // dem [Jam.: them] // her [direct object] // hoo [Br.] [Lancashire, West Yorkshire dialect] [she] // she // them [direct object] // they </td><td>they</td></tr><tr><td>mit</td><td>by // cum  [usually used in combination] // featuring  [having as a feature] // having // involving // withal  [postpos.]  [archaic] </td><td>with</td></tr><tr><td>erhobenen</td><td></td><td>collected</td></tr><tr><td>Händen</td><td></td><td>hands</td></tr><tr><td>das</td><td>that // the // what // which // who </td><td>the</td></tr><tr><td>Haus.</td><td>domestic // home // house // interoffice </td><td>House.</td></tr></table>	[sound:lola-002928013-002932938.mp4]
- Na, hier ist was los. - Haben sie Die Uhrzeit?	-  Na, ___ ist was ___ -  ___ sie Die Uhrzeit?	- Na, <span class="learn">hier</span> ist was <span class="learn">los.</span> - <span class="learn">Haben</span> sie Die Uhrzeit?	Well, what s going on here .  Have The Time ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Na,</td><td></td><td>Well,</td></tr><tr><td>hier</td><td>here // herein // of our city // this is where </td><td>here</td></tr><tr><td>ist</td><td></td><td>is</td></tr><tr><td>was</td><td>what // which </td><td>what</td></tr><tr><td>los.</td><td>a granel // in bulk // loosely // unconsolidated </td><td>going on.</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Haben</td><td></td><td>have</td></tr><tr><td>sie</td><td>'em [coll.] [them] [direct object] // dem [Jam.: them] // her [direct object] // hoo [Br.] [Lancashire, West Yorkshire dialect] [she] // she // them [direct object] // they </td><td>they</td></tr><tr><td>Die</td><td></td><td>the</td></tr><tr><td>Uhrzeit?</td><td></td><td>Time ?</td></tr></table>	[sound:lola-002933523-002936753.mp4]
Okay.	___	<span class="learn">Okay.</span>	Okay.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Okay.</td><td></td><td>Okay.</td></tr></table>	[sound:lola-002962177-002963767.mp4]
Hey! Weg da!	Hey! ___ da!	Hey! <span class="learn">Weg</span> da!	Hey! Way there!	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Hey!</td><td>Hey! // Yo! [Am.] [sl.] </td><td>Hey!</td></tr><tr><td>Weg</td><td></td><td>way</td></tr><tr><td>da!</td><td></td><td>there!</td></tr></table>	[sound:lola-002969758-002971678.mp4]
Nimm mich ein Stück mit, bitte.	Nimm mich ein Stück mit, ___	Nimm mich ein Stück mit, <span class="learn">bitte.</span>	Take me with a piece , please.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Nimm</td><td></td><td>Take</td></tr><tr><td>mich</td><td>me [direct object] </td><td>myself</td></tr><tr><td>ein</td><td>a // any [one of many] // an [masculine subject / neuter subject or direct object] // on // one </td><td>one</td></tr><tr><td>Stück</td><td></td><td>item</td></tr><tr><td>mit,</td><td></td><td>with ,</td></tr><tr><td>bitte.</td><td>to adjure // to appeal [request for aid, support] // to ask // to beg // to bid [ask, beg] // to entreat // to plead [beg, entreat] // to request // acerbic // acrid // acrimonious // acrimoniously // atrabilious // bitter // bitterly // rancorous // sardonic // severe </td><td>please .</td></tr></table>	[sound:lola-002973619-002975974.mp4]
Bist du Panne oder was?	Bist du Panne ___ was?	Bist du Panne <span class="learn">oder</span> was?	Are you glitch or what?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Bist</td><td></td><td>are</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>Panne</td><td></td><td>breakdown</td></tr><tr><td>oder</td><td></td><td>or</td></tr><tr><td>was?</td><td></td><td>what?</td></tr></table>	[sound:lola-002975975-002977518.mp4]
Warte!	___	<span class="learn">Warte!</span>	Wait!	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Warte!</td><td>Hold up! </td><td>Wait!</td></tr></table>	[sound:lola-002977519-002979018.mp4]
Warte, Manni.	___ ___	<span class="learn">Warte,</span> <span class="learn">Manni.</span>	Wait, Manni .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Warte,</td><td></td><td>wait</td></tr><tr><td>Manni.</td><td></td><td>Manni .</td></tr></table>	[sound:lola-003045308-003048338.mp4]
Ich bin gleich da.	Ich ___ ___ da.	Ich <span class="learn">bin</span> <span class="learn">gleich</span> da.	I ll be right there .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>bin</td><td></td><td>am</td></tr><tr><td>gleich</td><td>alike // at par // constant // equal // equally // equitable // even // identical // identically // in the same manner // likely  [archaic] // same // similar // uniform // uniformly </td><td>the same</td></tr><tr><td>da.</td><td>that // the // what // which // who </td><td>there.</td></tr></table>	[sound:lola-003048419-003050349.mp4]
Warte.	___	<span class="learn">Warte.</span>	Waiting .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Warte.</td><td>Hold up! </td><td>Waiting .</td></tr></table>	[sound:lola-003050419-003053028.mp4]
Ich schaff's. Ich schaff's	Ich schaff's. Ich schaff's	Ich schaff's. Ich schaff's	I get by . I get by	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>schaff's.</td><td></td><td>get by .</td></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>schaff's</td><td></td><td>get by</td></tr></table>	[sound:lola-003053529-003057152.mp4]
- Lola? - Mhm?	-  Lola? -  Mhm?	- Lola? - Mhm?	Lola ?  Hmm ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Lola?</td><td></td><td>Lola ?</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Mhm?</td><td></td><td>Mhm ?</td></tr></table>	[sound:lola-003173986-003177378.mp4]
Wenn ich jetzt sterben würde, was würdest du machen?	___ ich jetzt sterben ___ was ___ du ___	<span class="learn">Wenn</span> ich jetzt sterben <span class="learn">würde,</span> was <span class="learn">würdest</span> du <span class="learn">machen?</span>	If I were to die now , what would you do ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Wenn</td><td></td><td>when</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>jetzt</td><td>at the moment // currently // now </td><td>now</td></tr><tr><td>sterben</td><td>to bite the dust [coll.] // to cop it [coll.] [Br.] // to decease // to die // to expire [die] // to flatline [coll.] // to go belly-up [coll.] [fig.] // to pass away [to die] // to pass by // to pass [euph.: die] // to pay the debt of nature // to perish // to pop one's clogs [Br.] [coll.] // to snuff it [Br.] [sl.] // to turn belly-up [coll.] [fig.] </td><td>die</td></tr><tr><td>würde,</td><td></td><td>would ,</td></tr><tr><td>was</td><td>what // which </td><td>what</td></tr><tr><td>würdest</td><td></td><td>would</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>machen?</td><td></td><td>make ?</td></tr></table>	[sound:lola-003177986-003180606.mp4]
Ich würd dich nicht sterben lassen.	Ich ___ ___ nicht sterben ___	Ich <span class="learn">würd</span> <span class="learn">dich</span> nicht sterben <span class="learn">lassen.</span>	I would not let you die.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>würd</td><td></td><td>d</td></tr><tr><td>dich</td><td>thee [poet., archaic] [direct object] // ya [Am.] [coll.] [you] // yourself // you [direct object] [informal] </td><td>you</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>sterben</td><td>to bite the dust [coll.] // to cop it [coll.] [Br.] // to decease // to die // to expire [die] // to flatline [coll.] // to go belly-up [coll.] [fig.] // to pass away [to die] // to pass by // to pass [euph.: die] // to pay the debt of nature // to perish // to pop one's clogs [Br.] [coll.] // to snuff it [Br.] [sl.] // to turn belly-up [coll.] [fig.] </td><td>die</td></tr><tr><td>lassen.</td><td>leaving standing // letting </td><td>leave .</td></tr></table>	[sound:lola-003181277-003183747.mp4]
Wenn ich todkrank wär und es gäb keine Rettungsmöglichkeit?	___ ich todkrank ___ und es gäb ___ Rettungsmöglichkeit?	<span class="learn">Wenn</span> ich todkrank <span class="learn">wär</span> und es gäb <span class="learn">keine</span> Rettungsmöglichkeit?	If I were terminally ill , and thered be no possibility of rescue ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Wenn</td><td></td><td>when</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>todkrank</td><td>deathly ill // fatally ill // mortally ill // sick unto death [archaic] // terminally ill </td><td>terminally ill</td></tr><tr><td>wär</td><td></td><td>would</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>es</td><td>it </td><td>it</td></tr><tr><td>gäb</td><td></td><td>thered</td></tr><tr><td>keine</td><td>nary a [coll.] // neither // no // none // not a // not any [none] </td><td>no</td></tr><tr><td>Rettungsmöglichkeit?</td><td></td><td>Possibility of rescue ?</td></tr></table>	[sound:lola-003185087-003187607.mp4]
Ich würd eine finden.	Ich ___ eine finden.	Ich <span class="learn">würd</span> eine finden.	Id find one .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>würd</td><td></td><td>d</td></tr><tr><td>eine</td><td>any [one of many] // an [feminine subject / direct object] // one </td><td>one</td></tr><tr><td>finden.</td><td>encountering // finding </td><td>Find .</td></tr></table>	[sound:lola-003187688-003189018.mp4]
Jetzt sag doch mal. Ich lieg jetzt im Koma und der Arzt sagt, einen Tag noch.	Jetzt sag doch mal. Ich ___ jetzt im Koma und der Arzt ___ ___ ___ ___	Jetzt sag doch mal. Ich <span class="learn">lieg</span> jetzt im Koma und der Arzt <span class="learn">sagt,</span> <span class="learn">einen</span> <span class="learn">Tag</span> <span class="learn">noch.</span>	Now say it out . I lie now in a coma and the doctor says one more day .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Jetzt</td><td></td><td>now</td></tr><tr><td>sag</td><td></td><td>tell</td></tr><tr><td>doch</td><td>after all // but // however // nevertheless // on the contrary // still // too  [Am. coll.: certainly] // yet // you know ... </td><td>but</td></tr><tr><td>mal.</td><td></td><td>times.</td></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>lieg</td><td></td><td>lie</td></tr><tr><td>jetzt</td><td>at the moment // currently // now </td><td>now</td></tr><tr><td>im</td><td>at (the) </td><td>in</td></tr><tr><td>Koma</td><td></td><td>coma</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>der</td><td>that // the // this one // this [determiner] // which // who </td><td>the</td></tr><tr><td>Arzt</td><td></td><td>doctor</td></tr><tr><td>sagt,</td><td></td><td>says</td></tr><tr><td>einen</td><td>an [masculine direct object] // a {indefinite article} [masculine direct object] </td><td>a</td></tr><tr><td>Tag</td><td></td><td>day</td></tr><tr><td>noch.</td><td></td><td>yet .</td></tr></table>	[sound:lola-003189088-003193388.mp4]
Ich würd mit dir ans Meer fahren, dich ins Wasser schmeissen. Schocktherapie.	Ich ___ mit ___ ans Meer ___ ___ ___ Wasser schmeissen. Schocktherapie.	Ich <span class="learn">würd</span> mit <span class="learn">dir</span> ans Meer <span class="learn">fahren,</span> <span class="learn">dich</span> <span class="learn">ins</span> Wasser schmeissen. Schocktherapie.	Id go to the beach with you , throw you into the water. Shock therapy.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>würd</td><td></td><td>d</td></tr><tr><td>mit</td><td>by // cum  [usually used in combination] // featuring  [having as a feature] // having // involving // withal  [postpos.]  [archaic] </td><td>with</td></tr><tr><td>dir</td><td>thee [poet., archaic] [indirect object] // ye [archaic, poet.] // you [indirect object] [informal] </td><td>you</td></tr><tr><td>ans</td><td></td><td>to the</td></tr><tr><td>Meer</td><td></td><td>sea</td></tr><tr><td>fahren,</td><td></td><td>drive ,</td></tr><tr><td>dich</td><td>thee [poet., archaic] [direct object] // ya [Am.] [coll.] [you] // yourself // you [direct object] [informal] </td><td>you</td></tr><tr><td>ins</td><td></td><td>to</td></tr><tr><td>Wasser</td><td></td><td>water</td></tr><tr><td>schmeissen.</td><td></td><td>throw .</td></tr><tr><td>Schocktherapie.</td><td></td><td>Shock therapy.</td></tr></table>	[sound:lola-003193458-003196358.mp4]
Na ja, gut, und wenn ich dann trotzdem tot wär?	Na ja, ___ und ___ ich dann trotzdem ___ ___	Na ja, <span class="learn">gut,</span> und <span class="learn">wenn</span> ich dann trotzdem <span class="learn">tot</span> <span class="learn">wär?</span>	Well, well , and then when I d still dead?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Na</td><td></td><td>Na</td></tr><tr><td>ja,</td><td></td><td>yes ,</td></tr><tr><td>gut,</td><td></td><td>well ,</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>wenn</td><td>by the time // if and when // once // when // whensoever  [poet.] </td><td>when</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>dann</td><td>after that // in that case // next // then </td><td>then</td></tr><tr><td>trotzdem</td><td>after all // all the same // anyhow // anyway // at that [nevertheless] // despite // even so // in spite of that // just the same  [nevertheless] // nevertheless // nonetheless // regardless // still // yet [however] </td><td>nevertheless</td></tr><tr><td>tot</td><td>dead // deceased // defunct // gone // inactive // inanimate // lifeless [inanimate] // out of service </td><td>dead</td></tr><tr><td>wär?</td><td></td><td>would ?</td></tr></table>	[sound:lola-003196429-003199629.mp4]
- Was wilIst'n jetzt hören? - Jetzt sag doch mal.	-  Was wilIst'n jetzt ___ -  Jetzt sag doch mal.	- Was wilIst'n jetzt <span class="learn">hören?</span> - Jetzt sag doch mal.	What wilIstn now hear ?  Now say it out .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Was</td><td></td><td>What</td></tr><tr><td>wilIst'n</td><td></td><td>wilIstn</td></tr><tr><td>jetzt</td><td>at the moment // currently // now </td><td>now</td></tr><tr><td>hören?</td><td></td><td>hear ?</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Jetzt</td><td></td><td>now</td></tr><tr><td>sag</td><td></td><td>tell</td></tr><tr><td>doch</td><td>after all // but // however // nevertheless // on the contrary // still // too  [Am. coll.: certainly] // yet // you know ... </td><td>but</td></tr><tr><td>mal.</td><td></td><td>times.</td></tr></table>	[sound:lola-003201669-003203869.mp4]
Ich würde nach Rügen fahren und deine Asche in den Wind streuen.	Ich ___ ___ Rügen ___ und ___ ___ in den Wind streuen.	Ich <span class="learn">würde</span> <span class="learn">nach</span> Rügen <span class="learn">fahren</span> und <span class="learn">deine</span> <span class="learn">Asche</span> in den Wind streuen.	I would go to Rügen and scatter your ashes to the wind.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>würde</td><td></td><td>would</td></tr><tr><td>nach</td><td>according to // adapted from // after // as per // by  [according to] // following // going by [in accordance with] // in accordance with <IAW> // next to [at comparisons] // of  [taste, smell] // on // to // towards // under </td><td>after</td></tr><tr><td>Rügen</td><td></td><td>reprehend</td></tr><tr><td>fahren</td><td>to chauffeur // to drive // to fare [archaic] // to go [by vehicle] // to move [vehicle] // to navigate // to ride </td><td>move</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>deine</td><td>yer [coll.] </td><td>your</td></tr><tr><td>Asche</td><td></td><td>ashes</td></tr><tr><td>in</td><td>at // in // inside // into // on </td><td>in</td></tr><tr><td>den</td><td>that one [masculine direct object] // the // this one [masculine direct object] // this {determiner} [masculine direct object] // whom </td><td>the</td></tr><tr><td>Wind</td><td></td><td>Wind</td></tr><tr><td>streuen.</td><td>strewing </td><td>sprinkle .</td></tr></table>	[sound:lola-003205110-003207980.mp4]
Und dann?	Und dann?	Und dann?	And then what?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>dann?</td><td></td><td>then ?</td></tr></table>	[sound:lola-003208040-003209410.mp4]
Was weiß ich. So'ne blöde Frage.	Was ___ ich. So'ne ___ ___	Was <span class="learn">weiß</span> ich. So'ne <span class="learn">blöde</span> <span class="learn">Frage.</span>	What do I know . Aw stupid question .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Was</td><td></td><td>What</td></tr><tr><td>weiß</td><td>blank // whitely </td><td>white</td></tr><tr><td>ich.</td><td></td><td>I am.</td></tr><tr><td>So'ne</td><td></td><td>sone</td></tr><tr><td>blöde</td><td></td><td>stupid</td></tr><tr><td>Frage.</td><td></td><td>Question .</td></tr></table>	[sound:lola-003210901-003213301.mp4]
